speciesId,temperatureC,suitability,status,interpretation
lake_trout,21.7,0.143333,available,hypothetical_research_only
lake_trout,21.8,0.140000,available,hypothetical_research_only
lake_trout,21.9,0.136667,available,hypothetical_research_only
lake_trout,22.0,0.133333,available,hypothetical_research_only
lake_trout,22.1,0.130000,available,hypothetical_research_only
lake_trout,22.2,0.126667,available,hypothetical_research_only
lake_trout,22.3,0.123333,available,hypothetical_research_only
lake_trout,22.4,0.120000,available,hypothetical_research_only
lake_trout,22.5,0.116667,available,hypothetical_research_only
lake_trout,22.6,0.113333,available,hypothetical_research_only
lake_trout,22.7,0.110000,available,hypothetical_research_only
lake_trout,22.8,0.106667,available,hypothetical_research_only
lake_trout,22.9,0.103333,available,hypothetical_research_only
lake_trout,23.0,0.100000,available,hypothetical_research_only
lake_trout,23.1,0.098333,available,hypothetical_research_only
lake_trout,23.2,0.096667,available,hypothetical_research_only
lake_trout,23.3,0.095000,available,hypothetical_research_only
lake_trout,23.4,0.093333,available,hypothetical_research_only
lake_trout,23.5,0.091667,available,hypothetical_research_only
lake_trout,23.6,0.090000,available,hypothetical_research_only
lake_trout,23.7,0.088333,available,hypothetical_research_only
lake_trout,23.8,0.086667,available,hypothetical_research_only
lake_trout,23.9,0.085000,available,hypothetical_research_only
lake_trout,24.0,0.083333,available,hypothetical_research_only
lake_trout,24.1,0.081667,available,hypothetical_research_only
lake_trout,24.2,0.080000,available,hypothetical_research_only
lake_trout,24.3,0.078333,available,hypothetical_research_only
lake_trout,24.4,0.076667,available,hypothetical_research_only
lake_trout,24.5,0.075000,available,hypothetical_research_only
lake_trout,24.6,0.073333,available,hypothetical_research_only
lake_trout,24.7,0.071667,available,hypothetical_research_only
lake_trout,24.8,0.070000,available,hypothetical_research_only
lake_trout,24.9,0.068333,available,hypothetical_research_only
lake_trout,25.0,0.066667,available,hypothetical_research_only
lake_trout,25.1,0.065000,available,hypothetical_research_only
lake_trout,25.2,0.063333,available,hypothetical_research_only
lake_trout,25.3,0.061667,available,hypothetical_research_only
lake_trout,25.4,0.060000,available,hypothetical_research_only
lake_trout,25.5,0.058333,available,hypothetical_research_only
lake_trout,25.6,0.056667,available,hypothetical_research_only
lake_trout,25.7,0.055000,available,hypothetical_research_only
lake_trout,25.8,0.053333,available,hypothetical_research_only
lake_trout,25.9,0.051667,available,hypothetical_research_only
lake_trout,26.0,0.050000,available,hypothetical_research_only
lake_trout,26.1,,unavailable,hypothetical_research_only
lake_trout,26.2,,unavailable,hypothetical_research_only
lake_trout,26.3,,unavailable,hypothetical_research_only
lake_trout,26.4,,unavailable,hypothetical_research_only
lake_trout,26.5,,unavailable,hypothetical_research_only
lake_trout,26.6,,unavailable,hypothetical_research_only
lake_trout,26.7,,unavailable,hypothetical_research_only
lake_trout,26.8,,unavailable,hypothetical_research_only
lake_trout,26.9,,unavailable,hypothetical_research_only
lake_trout,27.0,,unavailable,hypothetical_research_only
lake_trout,27.1,,unavailable,hypothetical_research_only
lake_trout,27.2,,unavailable,hypothetical_research_only
lake_trout,27.3,,unavailable,hypothetical_research_only
lake_trout,27.4,,unavailable,hypothetical_research_only
lake_trout,27.5,,unavailable,hypothetical_research_only
lake_trout,27.6,,unavailable,hypothetical_research_only
lake_trout,27.7,,unavailable,hypothetical_research_only
lake_trout,27.8,,unavailable,hypothetical_research_only
lake_trout,27.9,,unavailable,hypothetical_research_only
lake_trout,28.0,,unavailable,hypothetical_research_only
lake_trout,28.1,,unavailable,hypothetical_research_only
lake_trout,28.2,,unavailable,hypothetical_research_only
lake_trout,28.3,,unavailable,hypothetical_research_only
lake_trout,28.4,,unavailable,hypothetical_research_only
lake_trout,28.5,,unavailable,hypothetical_research_only
lake_trout,28.6,,unavailable,hypothetical_research_only
lake_trout,28.7,,unavailable,hypothetical_research_only
lake_trout,28.8,,unavailable,hypothetical_research_only
lake_trout,28.9,,unavailable,hypothetical_research_only
lake_trout,29.0,,unavailable,hypothetical_research_only
lake_trout,29.1,,unavailable,hypothetical_research_only
lake_trout,29.2,,unavailable,hypothetical_research_only
lake_trout,29.3,,unavailable,hypothetical_research_only
lake_trout,29.4,,unavailable,hypothetical_research_only
lake_trout,29.5,,unavailable,hypothetical_research_only
lake_trout,29.6,,unavailable,hypothetical_research_only
lake_trout,29.7,,unavailable,hypothetical_research_only
lake_trout,29.8,,unavailable,hypothetical_research_only
lake_trout,29.9,,unavailable,hypothetical_research_only
lake_trout,30.0,,unavailable,hypothetical_research_only
lake_trout,30.1,,unavailable,hypothetical_research_only
lake_trout,30.2,,unavailable,hypothetical_research_only
lake_trout,30.3,,unavailable,hypothetical_research_only
lake_trout,30.4,,unavailable,hypothetical_research_only
lake_trout,30.5,,unavailable,hypothetical_research_only
lake_trout,30.6,,unavailable,hypothetical_research_only
lake_trout,30.7,,unavailable,hypothetical_research_only
lake_trout,30.8,,unavailable,hypothetical_research_only
lake_trout,30.9,,unavailable,hypothetical_research_only
lake_trout,31.0,,unavailable,hypothetical_research_only
lake_trout,31.1,,unavailable,hypothetical_research_only
lake_trout,31.2,,unavailable,hypothetical_research_only
lake_trout,31.3,,unavailable,hypothetical_research_only
lake_trout,31.4,,unavailable,hypothetical_research_only
lake_trout,31.5,,unavailable,hypothetical_research_only
lake_trout,31.6,,unavailable,hypothetical_research_only
lake_trout,31.7,,unavailable,hypothetical_research_only
lake_trout,31.8,,unavailable,hypothetical_research_only
lake_trout,31.9,,unavailable,hypothetical_research_only
lake_trout,32.0,,unavailable,hypothetical_research_only
walleye,0.0,0.600000,available,hypothetical_research_only
walleye,0.1,0.603750,available,hypothetical_research_only
walleye,0.2,0.607500,available,hypothetical_research_only
walleye,0.3,0.611250,available,hypothetical_research_only
walleye,0.4,0.615000,available,hypothetical_research_only
walleye,0.5,0.618750,available,hypothetical_research_only
walleye,0.6,0.622500,available,hypothetical_research_only
walleye,0.7,0.626250,available,hypothetical_research_only
walleye,0.8,0.630000,available,hypothetical_research_only
walleye,0.9,0.633750,available,hypothetical_research_only
walleye,1.0,0.637500,available,hypothetical_research_only
walleye,1.1,0.641250,available,hypothetical_research_only
walleye,1.2,0.645000,available,hypothetical_research_only
walleye,1.3,0.648750,available,hypothetical_research_only
