year,port,mode,species,month,estimateType,estimate
1992,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,10,Harvest,13
1992,FRANKFORT-ELBERTA,Pier/Dock,Common White Sucker,10,Harvest,44
1992,FRANKFORT-ELBERTA,Pier/Dock,,10,Angler Hours,10390
1992,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,10,Harvest,1422
1992,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,10,Harvest,555
1993,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,4,Harvest,202
1993,FRANKFORT-ELBERTA,Pier/Dock,,4,Angler Hours,4290
1993,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,4,Harvest,13
1993,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,4,Harvest,47
1993,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,5,Harvest,146
1993,FRANKFORT-ELBERTA,Pier/Dock,,5,Angler Hours,2606
1993,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,5,Harvest,15
1993,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,5,Harvest,17
1993,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,6,Harvest,362
1993,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,6,Harvest,24
1993,FRANKFORT-ELBERTA,Pier/Dock,Drum,6,Harvest,12
1993,FRANKFORT-ELBERTA,Pier/Dock,,6,Angler Hours,4371
1993,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,6,Harvest,89
1993,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,7,Harvest,34
1993,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,7,Harvest,108
1993,FRANKFORT-ELBERTA,Pier/Dock,,7,Angler Hours,7367
1993,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,7,Harvest,211
1993,FRANKFORT-ELBERTA,Pier/Dock,Yellow Perch,7,Harvest,872
1993,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,8,Harvest,13
1993,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,8,Harvest,34
1993,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,8,Harvest,11
1993,FRANKFORT-ELBERTA,Pier/Dock,,8,Angler Hours,4184
1993,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,9,Harvest,16
1993,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,9,Harvest,61
1993,FRANKFORT-ELBERTA,Pier/Dock,Largemouth Bass,9,Harvest,7
1993,FRANKFORT-ELBERTA,Pier/Dock,,9,Angler Hours,2946
1993,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,9,Harvest,14
1993,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,9,Harvest,25
1993,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,10,Harvest,64
1993,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,10,Harvest,7
1993,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,10,Harvest,72
1993,FRANKFORT-ELBERTA,Pier/Dock,Common White Sucker,10,Harvest,16
1993,FRANKFORT-ELBERTA,Pier/Dock,,10,Angler Hours,7984
1993,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,10,Harvest,3899
1993,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,10,Harvest,305
1993,FRANKFORT-ELBERTA,Pier/Dock,Yellow Perch,10,Harvest,11
1994,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,4,Harvest,315
1994,FRANKFORT-ELBERTA,Pier/Dock,Burbot,4,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,4,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,4,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Lean Lake Trout,4,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,,4,Angler Hours,6551
1994,FRANKFORT-ELBERTA,Pier/Dock,Pink Salmon,4,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,4,Harvest,8
1994,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,4,Harvest,136
1994,FRANKFORT-ELBERTA,Pier/Dock,Yellow Perch,4,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,5,Harvest,316
1994,FRANKFORT-ELBERTA,Pier/Dock,Burbot,5,Harvest,84
1994,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,5,Harvest,4
1994,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,5,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Lean Lake Trout,5,Harvest,21
1994,FRANKFORT-ELBERTA,Pier/Dock,,5,Angler Hours,3596
1994,FRANKFORT-ELBERTA,Pier/Dock,Pink Salmon,5,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,5,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,5,Harvest,8
1994,FRANKFORT-ELBERTA,Pier/Dock,Yellow Perch,5,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,6,Harvest,392
1994,FRANKFORT-ELBERTA,Pier/Dock,Burbot,6,Harvest,24
1994,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,6,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,6,Harvest,7
1994,FRANKFORT-ELBERTA,Pier/Dock,Lean Lake Trout,6,Harvest,13
1994,FRANKFORT-ELBERTA,Pier/Dock,,6,Angler Hours,5469
1994,FRANKFORT-ELBERTA,Pier/Dock,Pink Salmon,6,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,6,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,6,Harvest,23
1994,FRANKFORT-ELBERTA,Pier/Dock,Yellow Perch,6,Harvest,127
1994,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,7,Harvest,39
1994,FRANKFORT-ELBERTA,Pier/Dock,Burbot,7,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,7,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,7,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Lean Lake Trout,7,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,,7,Angler Hours,9209
1994,FRANKFORT-ELBERTA,Pier/Dock,Pink Salmon,7,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,7,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,7,Harvest,86
1994,FRANKFORT-ELBERTA,Pier/Dock,Yellow Perch,7,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,8,Harvest,37
1994,FRANKFORT-ELBERTA,Pier/Dock,Burbot,8,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,8,Harvest,65
1994,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,8,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Lean Lake Trout,8,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,,8,Angler Hours,2550
1994,FRANKFORT-ELBERTA,Pier/Dock,Pink Salmon,8,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,8,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,8,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Yellow Perch,8,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,9,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Burbot,9,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,9,Harvest,19
1994,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,9,Harvest,52
1994,FRANKFORT-ELBERTA,Pier/Dock,Lean Lake Trout,9,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,,9,Angler Hours,3186
1994,FRANKFORT-ELBERTA,Pier/Dock,Pink Salmon,9,Harvest,15
1994,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,9,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,9,Harvest,19
1994,FRANKFORT-ELBERTA,Pier/Dock,Yellow Perch,9,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,10,Harvest,5
1994,FRANKFORT-ELBERTA,Pier/Dock,Burbot,10,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,10,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,10,Harvest,37
1994,FRANKFORT-ELBERTA,Pier/Dock,Lean Lake Trout,10,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,,10,Angler Hours,5225
1994,FRANKFORT-ELBERTA,Pier/Dock,Pink Salmon,10,Harvest,0
1994,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,10,Harvest,1281
1994,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,10,Harvest,150
1994,FRANKFORT-ELBERTA,Pier/Dock,Yellow Perch,10,Harvest,0
1995,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,4,Harvest,84
1995,FRANKFORT-ELBERTA,Pier/Dock,,4,Angler Hours,3405
1995,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,4,Harvest,24
1995,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,4,Harvest,247
1995,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,5,Harvest,68
1995,FRANKFORT-ELBERTA,Pier/Dock,Lean Lake Trout,5,Harvest,5
1995,FRANKFORT-ELBERTA,Pier/Dock,,5,Angler Hours,1675
1995,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,5,Harvest,11
1995,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,6,Harvest,201
1995,FRANKFORT-ELBERTA,Pier/Dock,,6,Angler Hours,3512
1995,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,7,Harvest,55
1995,FRANKFORT-ELBERTA,Pier/Dock,,7,Angler Hours,2117
1995,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,8,Harvest,7
1995,FRANKFORT-ELBERTA,Pier/Dock,Lean Lake Trout,8,Harvest,7
1995,FRANKFORT-ELBERTA,Pier/Dock,,8,Angler Hours,1624
1995,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,9,Harvest,7
1995,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,9,Harvest,57
1995,FRANKFORT-ELBERTA,Pier/Dock,Northern Pike,9,Harvest,22
1995,FRANKFORT-ELBERTA,Pier/Dock,,9,Angler Hours,2380
1995,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,10,Harvest,3
1995,FRANKFORT-ELBERTA,Pier/Dock,Common White Sucker,10,Harvest,131
1995,FRANKFORT-ELBERTA,Pier/Dock,,10,Angler Hours,4390
1995,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,10,Harvest,3809
1995,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,10,Harvest,108
1996,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,4,Harvest,150
1996,FRANKFORT-ELBERTA,Pier/Dock,,4,Angler Hours,2981
1996,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,4,Harvest,199
