city_id,species_id,month,month_name,long_1997_2022_surveyed_years,long_1997_2022_hours,long_1997_2022_catch,long_1997_2022_catch_per_1000h,long_1997_2022_positive_year_share,modern_2012_2022_ex_2020_surveyed_years,modern_2012_2022_ex_2020_hours,modern_2012_2022_ex_2020_catch,modern_2012_2022_ex_2020_catch_per_1000h,modern_2012_2022_ex_2020_positive_year_share,recent_2018_2022_ex_2020_surveyed_years,recent_2018_2022_ex_2020_hours,recent_2018_2022_ex_2020_catch,recent_2018_2022_ex_2020_catch_per_1000h,recent_2018_2022_ex_2020_positive_year_share,nonbinding_evidence_guide_score
manistee_mi,steelhead,5,May,26,38895,227,5.836,0.538,10,14390,85,5.907,0.500,4,4930,11,2.231,0.250,3.92
manistee_mi,steelhead,6,June,26,27349,309,11.298,0.462,10,10001,178,17.798,0.700,4,2715,14,5.157,0.500,5.35
manistee_mi,steelhead,7,July,26,38193,483,12.646,0.192,10,10683,99,9.267,0.100,4,2670,0,0.000,0.000,4.22
manistee_mi,steelhead,8,August,26,65785,44,0.669,0.038,10,16990,0,0.000,0.000,4,3751,0,0.000,0.000,1.30
manistee_mi,steelhead,9,September,26,57485,225,3.914,0.346,10,15209,56,3.682,0.300,4,4418,0,0.000,0.000,3.20
manistee_mi,steelhead,10,October,26,65691,7387,112.451,1.000,10,13265,2120,159.819,1.000,4,3194,471,147.464,1.000,9.50
manistee_mi,brown_trout,4,April,25,78102,4410,56.465,1.000,10,15020,693,46.138,1.000,4,3549,80,22.542,1.000,7.98
manistee_mi,brown_trout,5,May,26,38895,2583,66.410,0.885,10,14390,313,21.751,0.800,4,4930,32,6.491,0.750,7.24
manistee_mi,brown_trout,6,June,26,27349,2242,81.977,0.577,10,10001,875,87.491,0.400,4,2715,0,0.000,0.000,7.65
manistee_mi,brown_trout,7,July,26,38193,237,6.205,0.192,10,10683,142,13.292,0.200,4,2670,0,0.000,0.000,4.28
manistee_mi,brown_trout,8,August,26,65785,0,0.000,0.000,10,16990,0,0.000,0.000,4,3751,0,0.000,0.000,1.00
manistee_mi,brown_trout,9,September,26,57485,63,1.096,0.154,10,15209,12,0.789,0.100,4,4418,0,0.000,0.000,1.85
manistee_mi,brown_trout,10,October,26,65691,118,1.796,0.346,10,13265,35,2.639,0.300,4,3194,0,0.000,0.000,2.68
frankfort_elberta_mi,chinook_salmon,4,April,25,45745,20,0.437,0.080,10,7298,2,0.274,0.100,4,3656,0,0.000,0.000,1.38
frankfort_elberta_mi,chinook_salmon,5,May,22,16269,49,3.012,0.227,8,2494,25,10.024,0.250,2,196,0,0.000,0.000,3.88
frankfort_elberta_mi,chinook_salmon,6,June,23,20393,47,2.305,0.174,8,3808,0,0.000,0.000,2,614,0,0.000,0.000,1.83
frankfort_elberta_mi,chinook_salmon,7,July,25,24672,801,32.466,0.360,10,2178,68,31.221,0.400,4,695,53,76.259,0.500,6.04
frankfort_elberta_mi,chinook_salmon,8,August,26,51294,5591,108.999,0.692,10,11036,754,68.322,0.700,4,2033,115,56.567,0.500,8.17
frankfort_elberta_mi,chinook_salmon,9,September,26,56126,5214,92.898,0.923,10,14578,846,58.033,0.800,4,3014,102,33.842,0.750,8.26
frankfort_elberta_mi,chinook_salmon,10,October,26,71508,223,3.119,0.308,10,17262,23,1.332,0.100,4,7651,23,3.006,0.250,2.49
frankfort_elberta_mi,coho_salmon,4,April,25,45745,34,0.743,0.120,10,7298,5,0.685,0.100,4,3656,5,1.368,0.250,1.70
frankfort_elberta_mi,coho_salmon,5,May,22,16269,0,0.000,0.000,8,2494,0,0.000,0.000,2,196,0,0.000,0.000,1.00
frankfort_elberta_mi,coho_salmon,6,June,23,20393,7,0.343,0.043,8,3808,0,0.000,0.000,2,614,0,0.000,0.000,1.16
frankfort_elberta_mi,coho_salmon,7,July,25,24672,27,1.094,0.040,10,2178,0,0.000,0.000,4,695,0,0.000,0.000,1.45
frankfort_elberta_mi,coho_salmon,8,August,26,51294,675,13.159,0.462,10,11036,283,25.643,0.500,4,2033,71,34.924,0.500,5.61
frankfort_elberta_mi,coho_salmon,9,September,26,56126,1968,35.064,0.731,10,14578,784,53.780,0.900,4,3014,242,80.292,0.750,7.49
frankfort_elberta_mi,coho_salmon,10,October,26,71508,520,7.272,0.731,10,17262,264,15.294,0.800,4,7651,148,19.344,1.000,5.25
frankfort_elberta_mi,steelhead,4,April,25,45745,840,18.363,0.760,10,7298,193,26.446,0.800,4,3656,42,11.488,0.750,6.28
frankfort_elberta_mi,steelhead,5,May,22,16269,224,13.769,0.455,8,2494,34,13.633,0.375,2,196,0,0.000,0.000,4.91
frankfort_elberta_mi,steelhead,6,June,23,20393,398,19.517,0.304,8,3808,45,11.817,0.125,2,614,0,0.000,0.000,4.72
frankfort_elberta_mi,steelhead,7,July,25,24672,337,13.659,0.360,10,2178,87,39.945,0.400,4,695,22,31.655,0.500,5.93
frankfort_elberta_mi,steelhead,8,August,26,51294,98,1.911,0.115,10,11036,29,2.628,0.100,4,2033,29,14.265,0.250,2.56
frankfort_elberta_mi,steelhead,9,September,26,56126,782,13.933,0.308,10,14578,42,2.881,0.300,4,3014,5,1.659,0.250,3.97
frankfort_elberta_mi,steelhead,10,October,26,71508,6473,90.521,1.000,10,17262,1592,92.226,1.000,4,7651,677,88.485,1.000,9.02
frankfort_elberta_mi,brown_trout,4,April,25,45745,2832,61.908,0.800,10,7298,227,31.104,0.600,4,3656,66,18.053,0.500,7.08
frankfort_elberta_mi,brown_trout,5,May,22,16269,1365,83.902,0.636,8,2494,77,30.874,0.375,2,196,0,0.000,0.000,6.94
frankfort_elberta_mi,brown_trout,6,June,23,20393,1935,94.885,0.522,8,3808,63,16.544,0.250,2,614,0,0.000,0.000,6.57
frankfort_elberta_mi,brown_trout,7,July,25,24672,510,20.671,0.280,10,2178,18,8.264,0.200,4,695,0,0.000,0.000,4.62
frankfort_elberta_mi,brown_trout,8,August,26,51294,521,10.157,0.346,10,11036,26,2.356,0.300,4,2033,0,0.000,0.000,3.63
frankfort_elberta_mi,brown_trout,9,September,26,56126,309,5.505,0.192,10,14578,131,8.986,0.200,4,3014,0,0.000,0.000,3.89
frankfort_elberta_mi,brown_trout,10,October,26,71508,148,2.070,0.192,10,17262,0,0.000,0.000,4,7651,0,0.000,0.000,1.77
