year,port,mode,species,month,month_name,estimate_type,estimate,source,source_last_refreshed
1991,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,6,June,Harvest,59,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1991,FRANKFORT-ELBERTA,Pier/Dock,,6,June,Angler Hours,3051,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1991,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,6,June,Harvest,5,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1991,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,7,July,Harvest,371,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1991,FRANKFORT-ELBERTA,Pier/Dock,,7,July,Angler Hours,7542,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1991,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,7,July,Harvest,280,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1991,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,8,August,Harvest,138,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1991,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,8,August,Harvest,179,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1991,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,8,August,Harvest,145,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1991,FRANKFORT-ELBERTA,Pier/Dock,,8,August,Angler Hours,7359,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1991,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,8,August,Harvest,35,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1991,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,9,September,Harvest,44,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1991,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,9,September,Harvest,3,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1991,FRANKFORT-ELBERTA,Pier/Dock,,9,September,Angler Hours,4699,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
