city_id,species_id,month,month_name,monthly_seasonal_ceiling,long_surveyed_years,long_hours,long_cpue_per_1000h,long_positive_year_share,modern_surveyed_years,modern_hours,modern_cpue_per_1000h,modern_positive_year_share,recent_surveyed_years,recent_hours,recent_cpue_per_1000h,recent_positive_year_share,evidence_guide_score,aggregate_support
manistee_mi,coho_salmon,8,August,3.65,26,65785,6.384,0.192,10,16990,3.590,0.200,4,3751,0.000,0.000,3.34,supported_or_below_good
manistee_mi,coho_salmon,9,September,6.78,26,57485,7.863,0.538,10,15209,17.424,0.500,4,4418,36.895,0.250,5.06,supported_or_below_good
manistee_mi,coho_salmon,10,October,7.45,26,65691,12.300,0.731,10,13265,44.779,0.800,4,3194,87.664,1.000,6.76,supported_or_below_good
manistee_mi,steelhead,4,April,6.02,25,78102,12.945,0.760,10,15020,25.233,0.700,4,3549,4.227,0.500,5.97,supported_or_below_good
manistee_mi,steelhead,5,May,4.23,26,38895,5.836,0.538,10,14390,5.907,0.500,4,4930,2.231,0.250,3.92,supported_or_below_good
manistee_mi,steelhead,6,June,4.60,26,27349,11.298,0.462,10,10001,17.798,0.700,4,2715,5.157,0.500,5.35,supported_or_below_good
manistee_mi,steelhead,7,July,3.46,26,38193,12.646,0.192,10,10683,9.267,0.100,4,2670,0.000,0.000,4.22,supported_or_below_good
manistee_mi,steelhead,8,August,3.13,26,65785,0.669,0.038,10,16990,0.000,0.000,4,3751,0.000,0.000,1.30,supported_or_below_good
manistee_mi,steelhead,9,September,5.78,26,57485,3.914,0.346,10,15209,3.682,0.300,4,4418,0.000,0.000,3.20,supported_or_below_good
manistee_mi,steelhead,10,October,9.05,26,65691,112.451,1.000,10,13265,159.819,1.000,4,3194,147.464,1.000,9.50,supported_or_below_good
manistee_mi,brown_trout,4,April,7.95,25,78102,56.465,1.000,10,15020,46.138,1.000,4,3549,22.542,1.000,7.98,supported_or_below_good
manistee_mi,brown_trout,5,May,6.38,26,38895,66.410,0.885,10,14390,21.751,0.800,4,4930,6.491,0.750,7.24,supported_or_below_good
manistee_mi,brown_trout,6,June,4.46,26,27349,81.977,0.577,10,10001,87.491,0.400,4,2715,0.000,0.000,7.65,supported_or_below_good
manistee_mi,brown_trout,7,July,2.71,26,38193,6.205,0.192,10,10683,13.292,0.200,4,2670,0.000,0.000,4.28,supported_or_below_good
manistee_mi,brown_trout,8,August,1.29,26,65785,0.000,0.000,10,16990,0.000,0.000,4,3751,0.000,0.000,1.00,supported_or_below_good
manistee_mi,brown_trout,9,September,1.67,26,57485,1.096,0.154,10,15209,0.789,0.100,4,4418,0.000,0.000,1.85,supported_or_below_good
manistee_mi,brown_trout,10,October,2.34,26,65691,1.796,0.346,10,13265,2.639,0.300,4,3194,0.000,0.000,2.68,supported_or_below_good
frankfort_elberta_mi,chinook_salmon,4,April,1.36,25,45745,0.437,0.080,10,7298,0.274,0.100,4,3656,0.000,0.000,1.38,supported_or_below_good
frankfort_elberta_mi,chinook_salmon,5,May,2.52,22,16269,3.012,0.227,8,2494,10.024,0.250,2,196,0.000,0.000,3.88,supported_or_below_good
frankfort_elberta_mi,chinook_salmon,6,June,3.87,23,20393,2.305,0.174,8,3808,0.000,0.000,2,614,0.000,0.000,1.83,supported_or_below_good
frankfort_elberta_mi,chinook_salmon,7,July,5.77,25,24672,32.466,0.360,10,2178,31.221,0.400,4,695,76.259,0.500,6.04,supported_or_below_good
frankfort_elberta_mi,chinook_salmon,8,August,9.01,26,51294,108.999,0.692,10,11036,68.322,0.700,4,2033,56.567,0.500,8.17,supported_or_below_good
frankfort_elberta_mi,chinook_salmon,9,September,8.30,26,56126,92.898,0.923,10,14578,58.033,0.800,4,3014,33.842,0.750,8.26,supported_or_below_good
frankfort_elberta_mi,chinook_salmon,10,October,2.92,26,71508,3.119,0.308,10,17262,1.332,0.100,4,7651,3.006,0.250,2.49,supported_or_below_good
frankfort_elberta_mi,coho_salmon,4,April,2.64,25,45745,0.743,0.120,10,7298,0.685,0.100,4,3656,1.368,0.250,1.70,supported_or_below_good
frankfort_elberta_mi,coho_salmon,5,May,2.29,22,16269,0.000,0.000,8,2494,0.000,0.000,2,196,0.000,0.000,1.00,supported_or_below_good
frankfort_elberta_mi,coho_salmon,6,June,2.14,23,20393,0.343,0.043,8,3808,0.000,0.000,2,614,0.000,0.000,1.16,supported_or_below_good
frankfort_elberta_mi,coho_salmon,7,July,4.00,25,24672,1.094,0.040,10,2178,0.000,0.000,4,695,0.000,0.000,1.45,supported_or_below_good
frankfort_elberta_mi,coho_salmon,8,August,6.23,26,51294,13.159,0.462,10,11036,25.643,0.500,4,2033,34.924,0.500,5.61,supported_or_below_good
frankfort_elberta_mi,coho_salmon,9,September,8.04,26,56126,35.064,0.731,10,14578,53.780,0.900,4,3014,80.292,0.750,7.49,supported_or_below_good
frankfort_elberta_mi,coho_salmon,10,October,6.43,26,71508,7.272,0.731,10,17262,15.294,0.800,4,7651,19.344,1.000,5.25,supported_or_below_good
frankfort_elberta_mi,steelhead,4,April,6.04,25,45745,18.363,0.760,10,7298,26.446,0.800,4,3656,11.488,0.750,6.28,supported_or_below_good
frankfort_elberta_mi,steelhead,5,May,4.59,22,16269,13.769,0.455,8,2494,13.633,0.375,2,196,0.000,0.000,4.91,supported_or_below_good
frankfort_elberta_mi,steelhead,6,June,4.62,23,20393,19.517,0.304,8,3808,11.817,0.125,2,614,0.000,0.000,4.72,supported_or_below_good
frankfort_elberta_mi,steelhead,7,July,5.02,25,24672,13.659,0.360,10,2178,39.945,0.400,4,695,31.655,0.500,5.93,supported_or_below_good
frankfort_elberta_mi,steelhead,8,August,4.39,26,51294,1.911,0.115,10,11036,2.628,0.100,4,2033,14.265,0.250,2.56,supported_or_below_good
frankfort_elberta_mi,steelhead,9,September,4.10,26,56126,13.933,0.308,10,14578,2.881,0.300,4,3014,1.659,0.250,3.97,supported_or_below_good
frankfort_elberta_mi,steelhead,10,October,8.43,26,71508,90.521,1.000,10,17262,92.226,1.000,4,7651,88.485,1.000,9.02,supported_or_below_good
frankfort_elberta_mi,brown_trout,4,April,7.33,25,45745,61.908,0.800,10,7298,31.104,0.600,4,3656,18.053,0.500,7.08,supported_or_below_good
frankfort_elberta_mi,brown_trout,5,May,6.62,22,16269,83.902,0.636,8,2494,30.874,0.375,2,196,0.000,0.000,6.94,supported_or_below_good
frankfort_elberta_mi,brown_trout,6,June,5.02,23,20393,94.885,0.522,8,3808,16.544,0.250,2,614,0.000,0.000,6.57,supported_or_below_good
frankfort_elberta_mi,brown_trout,7,July,3.64,25,24672,20.671,0.280,10,2178,8.264,0.200,4,695,0.000,0.000,4.62,supported_or_below_good
frankfort_elberta_mi,brown_trout,8,August,2.12,26,51294,10.157,0.346,10,11036,2.356,0.300,4,2033,0.000,0.000,3.63,supported_or_below_good
frankfort_elberta_mi,brown_trout,9,September,1.79,26,56126,5.505,0.192,10,14578,8.986,0.200,4,3014,0.000,0.000,3.89,supported_or_below_good
frankfort_elberta_mi,brown_trout,10,October,2.73,26,71508,2.070,0.192,10,17262,0.000,0.000,4,7651,0.000,0.000,1.77,supported_or_below_good
