pairKey,cityId,speciesId,evidenceGrade,modeCount,peakDate,peakMode,peakScore,goodDays,excellentDays,april15,june15,september16,october15,december15,springMaximum,summerMaximum,fallMaximum,winterMaximum
grand_haven_mi/yellow_perch,grand_haven_mi,yellow_perch,A,2,2027-08-05,summer_harbor_schooling,6,0,0,3.32,3.66,2.98,1.55,1,4.4,6,3.96,1.47
grand_haven_mi/round_whitefish,grand_haven_mi,round_whitefish,B,1,2027-04-15,spring_menominee,3.8,0,0,3.8,1,1,1,1,3.8,1,1,1.44
grand_haven_mi/channel_catfish,grand_haven_mi,channel_catfish,A,1,2027-08-10,warm_season_channel,5.8,0,0,2.34,4.67,4.37,3,1,4.17,5.8,4.95,1
grand_haven_mi/largemouth_bass,grand_haven_mi,largemouth_bass,A,1,2027-06-25,warm_season_harbor_cover,6.2,26,0,2.12,5.77,3.54,1.84,1,5.12,6.2,4.73,1
manistee_mi/lake_trout,manistee_mi,lake_trout,B,2,2027-01-20,cold_season_nearshore,4,0,0,2.33,2.68,1,1,3.1,3.51,3.6,2.72,4
manistee_mi/walleye,manistee_mi,walleye,B,1,2027-05-10,spring_low_light,4.2,0,0,3.17,1.98,1,1,1,4.2,2.84,1,1
manistee_mi/smallmouth_bass,manistee_mi,smallmouth_bass,B,1,2027-06-25,warm_season_harbor,5,0,0,1.86,4.67,2.95,1.64,1,4.17,5,3.87,1
manistee_mi/freshwater_drum,manistee_mi,freshwater_drum,B,1,2027-07-15,warm_season_bottom_fishery,4.7,0,0,1.69,4.22,3.01,1.61,1,3.73,4.7,3.91,1
manistee_mi/yellow_perch,manistee_mi,yellow_perch,A,2,2027-05-05,spring_nearshore_schooling,7.2,25,0,5.45,2.86,2.39,1.38,1,7.2,4.5,3.08,1.85
manistee_mi/round_whitefish,manistee_mi,round_whitefish,B,1,2027-11-15,fall_menominee,4.1,0,0,1,1,1.96,3.19,2.09,1,1.48,4.1,3.03
frankfort_elberta_mi/lake_trout,frankfort_elberta_mi,lake_trout,B,2,2027-01-20,cold_season_nearshore,4,0,0,2.33,2.81,1,1,3.1,3.51,3.8,2.72,4
racine_wi/yellow_perch,racine_wi,yellow_perch,B,1,2027-07-20,summer_harbor_schooling,4.8,0,0,1,3.02,2.51,1.42,1,2.05,4.8,3.25,1
kenosha_wi/yellow_perch,kenosha_wi,yellow_perch,B,1,2027-07-20,summer_harbor_schooling,5.4,0,0,1,3.34,2.74,1.48,1,2.21,5.4,3.61,1
